seed,max_sequence_length,case_name,deviation,lower_bound,upper_bound,exact_bound,runtime,precision,recall,f1,states,status,error_message
114,15,both_bounds,0.0,0.058,0.059,0.05851782558985552,1.3887779712677002,0.7301464919043947,0.73984375,0.7349631354287932,2,success,
114,15,lower_only,0.0,0.058,,0.05851782558985552,1.0707759857177734,0.9936958234830575,0.98515625,0.9894076108277756,2,success,
114,15,upper_only,0.0,,0.059,0.05851782558985552,0.9277491569519043,1.0,0.97578125,0.9877421905891657,2,success,
28998,15,both_bounds,0.0,0.058,0.059,0.05882964348820289,8.899027109146118,0.7321724709784412,0.704708699122107,0.7181781211874746,2,success,
28998,15,lower_only,0.0,0.058,,0.05882964348820289,1.570465087890625,0.9847144006436042,0.9768555466879489,0.9807692307692307,2,success,
28998,15,upper_only,0.0,,0.059,0.05882964348820289,10.04963493347168,0.014061207609594707,0.013567438148443736,0.01380991064175467,2,success,
7239,15,both_bounds,0.0,0.059,0.06,0.05945327928489762,1.1788392066955566,0.7316239316239316,0.7139282735613011,0.7226677923174335,2,success,
7239,15,lower_only,0.0,0.059,,0.05945327928489762,1.4573159217834473,0.16923076923076924,0.2018348623853211,0.18410041841004185,2,success,
7239,15,upper_only,0.0,,0.06,0.05945327928489762,15.539682149887085,0.6945812807881774,0.7055879899916597,0.7000413736036408,2,success,
11517,15,both_bounds,0.0,0.058,0.059,0.058333044613057085,0.28985595703125,1.0,0.9969135802469136,0.9984544049459042,2,success,
11517,15,lower_only,0.0,0.058,,0.058333044613057085,1.060302972793579,1.0,0.9976851851851852,0.9988412514484357,2,success,
11517,15,upper_only,0.0,,0.059,0.058333044613057085,1.492002010345459,0.7099767981438515,0.7083333333333334,0.709154113557358,2,success,
79820,15,both_bounds,0.0,0.058,0.059,0.05854092321195533,0.31181812286376953,1.0,0.9945226917057903,0.9972538250294233,2,success,
79820,15,lower_only,0.0,0.058,,0.05854092321195533,15.544793128967285,0.993705743509048,0.9882629107981221,0.9909768536681052,2,success,
79820,15,upper_only,0.0,,0.059,0.05854092321195533,7.518468856811523,0.7312952534191473,0.7112676056338029,0.7211424038080126,2,success,
9471,15,both_bounds,0.0,0.058,0.059,0.058679508944554155,0.31119608879089355,0.9927652733118971,0.9755134281200631,0.9840637450199203,2,success,
9471,15,lower_only,0.0,0.058,,0.058679508944554155,5.941166162490845,0.994408945686901,0.9834123222748815,0.988880063542494,2,success,
9471,15,upper_only,0.0,,0.059,0.058679508944554155,1.7716221809387207,1.0,0.9873617693522907,0.9936406995230525,2,success,
36624,15,both_bounds,0.0,0.058,0.059,0.05873725299980367,1.110299825668335,0.9912490055688147,0.9881046788263284,0.9896743447180302,2,success,
36624,15,lower_only,0.0,0.058,,0.05873725299980367,3.044800043106079,0.9871897518014412,0.9777954004758128,0.9824701195219123,2,success,
36624,15,upper_only,0.0,,0.059,0.05873725299980367,5.793766021728516,0.7830913748932536,0.7272006344171292,0.7541118421052632,2,success,
39871,15,both_bounds,0.0,0.059,0.06,0.05919920544179977,1.1748008728027344,1.0,0.9991809991809992,0.9995903318312167,2,success,
39871,15,lower_only,0.0,0.059,,0.05919920544179977,5.021831035614014,0.010294117647058823,0.011466011466011465,0.01084850833010461,2,success,
39871,15,upper_only,0.0,,0.06,0.05919920544179977,5.732379913330078,0.6991869918699187,0.7043407043407044,0.7017543859649122,2,success,
56085,15,both_bounds,0.0,0.058,0.059,0.05891048516555221,2.7856149673461914,0.6897689768976898,0.6709470304975923,0.6802278275020341,2,success,
56085,15,lower_only,0.0,0.058,,0.05891048516555221,21.26557493209839,1.0,0.9967897271268058,0.9983922829581994,2,success,
56085,15,upper_only,0.0,,0.059,0.05891048516555221,4.71829891204834,0.7095681625740897,0.6725521669341894,0.6905644829007005,2,success,
89095,15,both_bounds,0.0,0.058,0.059,0.058321495802007184,1.178016185760498,1.0,1.0,1.0,2,success,
89095,15,lower_only,0.0,0.058,,0.058321495802007184,8.208980083465576,0.9870525514089871,0.9992289899768697,0.993103448275862,2,success,
89095,15,upper_only,0.0,,0.059,0.058321495802007184,3.9933879375457764,1.0,0.9760986892829607,0.9879047990635973,2,success,
98846,15,both_bounds,0.0,0.058,0.059,0.05877189943295338,1.1331381797790527,1.0,0.9864864864864865,0.9931972789115646,2,success,
98846,15,lower_only,0.0,0.058,,0.05877189943295338,0.9499509334564209,0.9967767929089444,0.9833068362480127,0.9899959983993597,2,success,
98846,15,upper_only,0.0,,0.059,0.05877189943295338,5.277384042739868,0.7010869565217391,0.7178060413354531,0.7093479968578161,2,success,
3075,15,both_bounds,0.0,0.058,0.059,0.05847163034565592,1.2042210102081299,0.7248475609756098,0.7406542056074766,0.7326656394453005,2,success,
3075,15,lower_only,0.0,0.058,,0.05847163034565592,1.8786578178405762,1.0,0.9945482866043613,0.9972666926981648,2,success,
3075,15,upper_only,0.0,,0.059,0.05847163034565592,1.7821409702301025,0.9748475609756098,0.9961059190031153,0.985362095531587,2,success,
39161,15,both_bounds,0.0,0.058,0.059,0.05879499705505318,2.210057020187378,0.9823434991974318,0.9745222929936306,0.9784172661870504,2,success,
39161,15,lower_only,0.0,0.058,,0.05879499705505318,1.0107240676879883,0.9943820224719101,0.9864649681528662,0.9904076738609112,2,success,
39161,15,upper_only,0.0,,0.059,0.05879499705505318,23.137744903564453,0.9943955164131305,0.9888535031847133,0.9916167664670659,2,success,
8988,15,both_bounds,0.0,0.058,0.059,0.058702606566653964,0.29651594161987305,1.0,0.9960443037974683,0.9980182322631788,2,success,
