seed,max_sequence_length,case_name,deviation,lower_bound,upper_bound,exact_bound,interpretability_case,self_loop_penalty,sink_state_penalty,parallel_edge_penalty,runtime,precision,recall,f1,states,status,error_message
36624,15,both_bounds,,0.058,0.059,0.05873725299980367,self_loops_and_sink_states,0.05,0.05,,92.02108979225159,0.9984164687252574,1.0,0.9992076069730587,3,success,
3075,15,both_bounds,,0.058,0.059,0.05847163034565592,sink_states_and_parallel_edges,,0.05,0.05,1383.5042579174042,0.003032600454890068,0.003115264797507788,0.003073376872839032,3,success,
59934,15,both_bounds,,0.058,0.059,0.05821755650255806,sink_states_and_parallel_edges,,0.05,0.05,2416.5994369983673,0.008403361344537815,0.007656967840735069,0.008012820512820512,3,success,
8938,15,both_bounds,,0.059,0.06,0.0593493399854485,sink_states_and_parallel_edges,,0.05,0.05,1757.4250438213348,0.0015094339622641509,0.0016556291390728477,0.0015791551519936833,3,success,
36624,15,both_bounds,,0.058,0.059,0.05873725299980367,self_loops_and_parallel_edges,0.05,,0.05,218.65692687034607,0.982484076433121,0.9785884218873909,0.9805323798172427,3,success,
7239,15,both_bounds,,0.059,0.06,0.05945327928489762,sink_states,,0.05,,871.9678230285645,0.23659074210139602,0.26855713094245204,0.2515625,3,success,
31055,15,both_bounds,,0.058,0.059,0.058725704188753766,all,0.05,0.05,0.05,525.446347951889,0.9818037974683544,0.9833597464342314,0.9825811559778306,3,success,
97635,15,both_bounds,,0.058,0.059,0.05847163034565592,standart,,,,9.068349838256836,0.985121378230227,0.9797507788161994,0.9824287387739165,3,success,
88322,15,both_bounds,,0.058,0.059,0.05865641132245435,self_loops_and_parallel_edges,0.05,,0.05,272.7948479652405,1.0,0.9976340694006309,0.9988156336360048,3,success,
69007,15,both_bounds,,0.059,0.06,0.05910681495340055,sink_states_and_parallel_edges,,0.05,0.05,2568.208835840225,0.9902359641985354,0.9902359641985354,0.9902359641985354,3,success,
11298,15,both_bounds,,0.058,0.059,0.05857556964510504,all,0.05,0.05,0.05,607.7423770427704,0.9849683544303798,0.9764705882352941,0.9807010634107917,3,success,
58656,15,both_bounds,,0.058,0.059,0.05855247202300523,standart,,,,5.335685968399048,0.994475138121547,0.9866875489428347,0.9905660377358491,3,success,
97635,15,both_bounds,,0.058,0.059,0.05847163034565592,self_loops,0.05,,,98.38276791572571,1.0,0.9922118380062306,0.9960906958561376,3,success,
3075,15,both_bounds,,0.058,0.059,0.05847163034565592,all,0.05,0.05,0.05,391.66248083114624,1.0,1.0,1.0,3,success,
58656,15,both_bounds,,0.058,0.059,0.05855247202300523,self_loops,0.05,,,87.96045589447021,1.0,0.995301487862177,0.9976452119309263,3,success,
59934,15,both_bounds,,0.058,0.059,0.05821755650255806,all,0.05,0.05,0.05,297.1343870162964,1.0,0.998468606431853,0.9992337164750957,3,success,
6886,15,both_bounds,,0.058,0.059,0.05817136125835845,standart,,,,36.93249797821045,0.979607250755287,0.9900763358778626,0.9848139711465452,3,success,
39161,15,both_bounds,,0.058,0.059,0.05879499705505318,standart,,,,58.64883303642273,1.0,0.9840764331210191,0.9919743178170144,3,success,
7239,15,both_bounds,,0.059,0.06,0.05945327928489762,parallel_edges,,,0.05,384.89480805397034,1.0,0.9974979149291076,0.9987473903966597,3,success,
39161,15,both_bounds,,0.058,0.059,0.05879499705505318,self_loops,0.05,,,139.2951910495758,1.0,0.9912420382165605,0.9956017592962815,3,success,
7239,15,both_bounds,,0.059,0.06,0.05945327928489762,self_loops_and_sink_states,0.05,0.05,,122.54995489120483,0.9890756302521009,0.981651376146789,0.9853495186270406,3,success,
93344,15,both_bounds,,0.058,0.059,0.058714155377703865,sink_states,,0.05,,1545.3324038982391,0.9928400954653938,0.9881235154394299,0.9904761904761905,3,success,
7239,15,both_bounds,,0.059,0.06,0.05945327928489762,self_loops_and_parallel_edges,0.05,,0.05,300.6488389968872,0.991575400168492,0.981651376146789,0.9865884325230512,3,success,
6886,15,both_bounds,,0.058,0.059,0.05817136125835845,self_loops,0.05,,,650.9900960922241,1.0,0.999236641221374,0.9996181748759069,3,success,
