goal,deviation,case_name,lower_bound,upper_bound,exact_bound,runtime,precision,recall,f1,states,status,error_message
2,0.05,lower_only,0.05,,0.10714285714285714,0.6880309581756592,1.0,0.16666666666666666,0.2857142857142857,2,success,
2,0.05,upper_only,,0.16,0.10714285714285714,0.7090270519256592,0.25,0.5,0.3333333333333333,2,success,
3,0.0,both_bounds,0.09,0.1,0.09803921568627451,0.012781858444213867,1.0,1.0,1.0,2,success,
3,0.0,lower_only,0.09,,0.09803921568627451,0.4728400707244873,1.0,0.8333333333333334,0.9090909090909091,2,success,
3,0.0,upper_only,,0.1,0.09803921568627451,0.335460901260376,0.0,0.0,0.0,2,success,
3,0.01,both_bounds,0.08,0.11,0.09803921568627451,0.014642000198364258,0.8333333333333334,0.8333333333333334,0.8333333333333334,2,success,
3,0.01,lower_only,0.08,,0.09803921568627451,0.03562307357788086,1.0,0.8333333333333334,0.9090909090909091,2,success,
3,0.01,upper_only,,0.11,0.09803921568627451,1.0268158912658691,0.1,0.16666666666666666,0.125,2,success,
3,0.02,both_bounds,0.06999999999999999,0.12000000000000001,0.09803921568627451,0.014045000076293945,0.1,0.16666666666666666,0.125,2,success,
3,0.02,lower_only,0.06999999999999999,,0.09803921568627451,0.10040116310119629,1.0,0.8333333333333334,0.9090909090909091,2,success,
3,0.02,upper_only,,0.12000000000000001,0.09803921568627451,0.14170098304748535,0.8571428571428571,1.0,0.9230769230769231,2,success,
3,0.03,both_bounds,0.06,0.13,0.09803921568627451,0.015334129333496094,0.1,0.16666666666666666,0.125,2,success,
3,0.03,lower_only,0.06,,0.09803921568627451,0.14287900924682617,0.5,0.3333333333333333,0.4,2,success,
3,0.03,upper_only,,0.13,0.09803921568627451,0.14100408554077148,0.25,0.5,0.3333333333333333,2,success,
3,0.04,both_bounds,0.049999999999999996,0.14,0.09803921568627451,0.016579151153564453,1.0,0.6666666666666666,0.8,2,success,
3,0.04,lower_only,0.049999999999999996,,0.09803921568627451,0.04471611976623535,0.6666666666666666,0.3333333333333333,0.4444444444444444,2,success,
3,0.04,upper_only,,0.14,0.09803921568627451,0.035726070404052734,0.25,0.5,0.3333333333333333,2,success,
3,0.05,both_bounds,0.039999999999999994,0.15000000000000002,0.09803921568627451,0.02273106575012207,1.0,0.5,0.6666666666666666,2,success,
3,0.05,lower_only,0.039999999999999994,,0.09803921568627451,0.12544512748718262,1.0,0.3333333333333333,0.5,2,success,
3,0.05,upper_only,,0.15000000000000002,0.09803921568627451,0.03748297691345215,0.25,0.5,0.3333333333333333,2,success,
4,0.0,both_bounds,0.09,0.1,0.0967741935483871,0.037033796310424805,1.0,1.0,1.0,2,success,
4,0.0,lower_only,0.09,,0.0967741935483871,0.1312088966369629,1.0,0.8333333333333334,0.9090909090909091,2,success,
4,0.0,upper_only,,0.1,0.0967741935483871,3.7856531143188477,0.0,0.0,0.0,2,success,
4,0.01,both_bounds,0.08,0.11,0.0967741935483871,0.03833317756652832,1.0,0.8333333333333334,0.9090909090909091,2,success,
4,0.01,lower_only,0.08,,0.0967741935483871,0.3354790210723877,1.0,0.8333333333333334,0.9090909090909091,2,success,
4,0.01,upper_only,,0.11,0.0967741935483871,0.4884800910949707,0.08333333333333333,0.16666666666666666,0.1111111111111111,2,success,
4,0.02,both_bounds,0.06999999999999999,0.12000000000000001,0.0967741935483871,0.03933382034301758,0.75,0.5,0.6,2,success,
4,0.02,lower_only,0.06999999999999999,,0.0967741935483871,0.588292121887207,0.6666666666666666,0.3333333333333333,0.4444444444444444,2,success,
4,0.02,upper_only,,0.12000000000000001,0.0967741935483871,1.1236000061035156,0.8333333333333334,0.8333333333333334,0.8333333333333334,2,success,
4,0.03,both_bounds,0.06,0.13,0.0967741935483871,0.030165910720825195,1.0,0.6666666666666666,0.8,2,success,
4,0.03,lower_only,0.06,,0.0967741935483871,0.503242015838623,1.0,0.6666666666666666,0.8,2,success,
4,0.03,upper_only,,0.13,0.0967741935483871,2.192708969116211,0.8333333333333334,0.8333333333333334,0.8333333333333334,2,success,
4,0.04,both_bounds,0.049999999999999996,0.14,0.0967741935483871,0.028522014617919922,1.0,0.6666666666666666,0.8,2,success,
4,0.04,lower_only,0.049999999999999996,,0.0967741935483871,0.22423195838928223,1.0,0.5,0.6666666666666666,2,success,
4,0.04,upper_only,,0.14,0.0967741935483871,1.8582820892333984,0.8333333333333334,0.8333333333333334,0.8333333333333334,2,success,
4,0.05,both_bounds,0.039999999999999994,0.15000000000000002,0.0967741935483871,0.02706599235534668,1.0,0.5,0.6666666666666666,2,success,
4,0.05,lower_only,0.039999999999999994,,0.0967741935483871,0.23705697059631348,1.0,0.6666666666666666,0.8,2,success,
4,0.05,upper_only,,0.15000000000000002,0.0967741935483871,0.7686989307403564,0.8333333333333334,0.8333333333333334,0.8333333333333334,2,success,
5,0.0,both_bounds,0.11,0.12,0.11285266457680251,0.01719188690185547,0.8571428571428571,1.0,0.9230769230769231,2,success,
5,0.0,lower_only,0.11,,0.11285266457680251,0.07889509201049805,1.0,1.0,1.0,2,success,
5,0.0,upper_only,,0.12,0.11285266457680251,0.2759389877319336,0.8571428571428571,1.0,0.9230769230769231,2,success,
5,0.01,both_bounds,0.1,0.13,0.11285266457680251,0.019756078720092773,0.375,0.5,0.42857142857142855,2,success,
5,0.01,lower_only,0.1,,0.11285266457680251,0.1630101203918457,0.07142857142857142,0.16666666666666666,0.1,2,success,
5,0.01,upper_only,,0.13,0.11285266457680251,2.0111401081085205,0.8571428571428571,1.0,0.9230769230769231,2,success,
5,0.02,both_bounds,0.09,0.13999999999999999,0.11285266457680251,0.017758846282958984,0.09090909090909091,0.16666666666666666,0.11764705882352941,2,success,
5,0.02,lower_only,0.09,,0.11285266457680251,0.1201329231262207,0.0,0.0,0.0,2,success,
5,0.02,upper_only,,0.13999999999999999,0.11285266457680251,1.9441661834716797,0.4444444444444444,0.6666666666666666,0.5333333333333333,2,success,
5,0.03,both_bounds,0.08,0.15,0.11285266457680251,0.01579904556274414,1.0,0.6666666666666666,0.8,2,success,
5,0.03,lower_only,0.08,,0.11285266457680251,1.7464210987091064,0.0,0.0,0.0,2,success,
5,0.03,upper_only,,0.15,0.11285266457680251,1.877897024154663,0.4444444444444444,0.6666666666666666,0.5333333333333333,2,success,
5,0.04,both_bounds,0.07,0.16,0.11285266457680251,0.0184328556060791,1.0,0.6666666666666666,0.8,2,success,
5,0.04,lower_only,0.07,,0.11285266457680251,0.28226709365844727,1.0,0.5,0.6666666666666666,2,success,
5,0.04,upper_only,,0.16,0.11285266457680251,1.244757890701294,0.5,0.8333333333333334,0.625,2,success,
5,0.05,both_bounds,0.06,0.16999999999999998,0.11285266457680251,0.028990983963012695,1.0,0.6666666666666666,0.8,2,success,
5,0.05,lower_only,0.06,,0.11285266457680251,2.1802780628204346,1.0,0.5,0.6666666666666666,2,success,
5,0.05,upper_only,,0.16999999999999998,0.11285266457680251,1.1993780136108398,0.5,0.8333333333333334,0.625,2,success,
6,0.0,both_bounds,0.09,0.1,0.09782608695652174,0.03458809852600098,0.7142857142857143,0.8333333333333334,0.7692307692307693,2,success,
6,0.0,lower_only,0.09,,0.09782608695652174,0.25023889541625977,1.0,1.0,1.0,2,success,
6,0.0,upper_only,,0.1,0.09782608695652174,0.33812808990478516,1.0,1.0,1.0,2,success,
6,0.01,both_bounds,0.08,0.11,0.09782608695652174,0.020821094512939453,0.7142857142857143,0.8333333333333334,0.7692307692307693,2,success,
6,0.01,lower_only,0.08,,0.09782608695652174,0.14658808708190918,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,success,
6,0.01,upper_only,,0.11,0.09782608695652174,0.4610121250152588,0.7142857142857143,0.8333333333333334,0.7692307692307693,2,success,
6,0.02,both_bounds,0.06999999999999999,0.12000000000000001,0.09782608695652174,0.022059917449951172,0.7142857142857143,0.8333333333333334,0.7692307692307693,2,success,
6,0.02,lower_only,0.06999999999999999,,0.09782608695652174,0.2727928161621094,0.8,0.6666666666666666,0.7272727272727273,2,success,
6,0.02,upper_only,,0.12000000000000001,0.09782608695652174,0.033895015716552734,0.75,1.0,0.8571428571428571,2,success,
6,0.03,both_bounds,0.06,0.13,0.09782608695652174,0.01675105094909668,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,success,
6,0.03,lower_only,0.06,,0.09782608695652174,0.15528512001037598,0.6,0.5,0.5454545454545454,2,success,
6,0.03,upper_only,,0.13,0.09782608695652174,0.1698920726776123,0.75,1.0,0.8571428571428571,2,success,
6,0.04,both_bounds,0.049999999999999996,0.14,0.09782608695652174,0.014024019241333008,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,success,
6,0.04,lower_only,0.049999999999999996,,0.09782608695652174,0.09341096878051758,1.0,0.5,0.6666666666666666,2,success,
6,0.04,upper_only,,0.14,0.09782608695652174,3.6830148696899414,0.75,1.0,0.8571428571428571,2,success,
6,0.05,both_bounds,0.039999999999999994,0.15000000000000002,0.09782608695652174,0.01504206657409668,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,success,
6,0.05,lower_only,0.039999999999999994,,0.09782608695652174,0.021645069122314453,1.0,0.3333333333333333,0.5,2,success,
6,0.05,upper_only,,0.15000000000000002,0.09782608695652174,0.1231539249420166,0.75,1.0,0.8571428571428571,2,success,
