seed,class_a,class_b,num_states,deviation,case_name,lower_bound,upper_bound,exact_bound,runtime,precision,recall,f1,states,status,error_message
98846,0,1,3,,upper_only,,0.11,0.10317460317460317,0.013754844665527344,1.0,1.0,1.0,3,success,
51134,0,1,2,,both_bounds,0.1,0.11,0.10317460317460317,0.009367942810058594,1.0,1.0,1.0,2,success,
58283,0,1,2,,both_bounds,0.1,0.11,0.10317460317460317,0.014666080474853516,1.0,1.0,1.0,2,success,
79121,0,1,2,,both_bounds,0.1,0.11,0.10317460317460317,0.013998031616210938,1.0,1.0,1.0,2,success,
89149,0,1,3,,lower_only,0.1,,0.10317460317460317,0.0131378173828125,1.0,1.0,1.0,3,success,
70332,0,1,2,,upper_only,,0.11,0.10317460317460317,0.03423595428466797,1.0,1.0,1.0,2,success,
56085,0,1,2,,lower_only,0.1,,0.10317460317460317,0.010461091995239258,1.0,1.0,1.0,2,success,
69007,0,1,4,,both_bounds,0.1,0.11,0.10317460317460317,0.01273488998413086,1.0,1.0,1.0,4,success,
29382,0,1,2,,both_bounds,0.1,0.11,0.10317460317460317,0.018861055374145508,1.0,0.7142857142857143,0.8333333333333334,2,success,
114,0,1,2,,both_bounds,0.1,0.11,0.10317460317460317,0.029110193252563477,1.0,1.0,1.0,2,success,
65447,0,1,3,,lower_only,0.1,,0.10317460317460317,0.012768030166625977,1.0,1.0,1.0,3,success,
36624,0,1,3,,lower_only,0.1,,0.10317460317460317,0.01836705207824707,1.0,1.0,1.0,3,success,
59934,0,1,2,,both_bounds,0.1,0.11,0.10317460317460317,0.010610103607177734,1.0,1.0,1.0,2,success,
85303,0,1,2,,upper_only,,0.11,0.10317460317460317,0.01402902603149414,1.0,1.0,1.0,2,success,
79820,0,1,2,,both_bounds,0.1,0.11,0.10317460317460317,0.012989997863769531,1.0,1.0,1.0,2,success,
11298,0,1,2,,both_bounds,0.1,0.11,0.10317460317460317,0.009649038314819336,1.0,1.0,1.0,2,success,
93344,0,1,2,,lower_only,0.1,,0.10317460317460317,0.01099395751953125,1.0,1.0,1.0,2,success,
9178,0,1,3,,upper_only,,0.11,0.10317460317460317,0.020814895629882812,1.0,1.0,1.0,3,success,
56085,0,1,2,,upper_only,,0.11,0.10317460317460317,0.01026296615600586,1.0,1.0,1.0,2,success,
8938,0,1,3,,upper_only,,0.11,0.10317460317460317,0.03446316719055176,1.0,1.0,1.0,3,success,
89149,0,1,3,,upper_only,,0.11,0.10317460317460317,0.013659000396728516,1.0,0.5714285714285714,0.7272727272727273,3,success,
87228,0,1,2,,both_bounds,0.1,0.11,0.10317460317460317,0.009727001190185547,1.0,1.0,1.0,2,success,
39161,0,1,3,,upper_only,,0.11,0.10317460317460317,0.04681515693664551,1.0,1.0,1.0,3,success,
70332,0,1,3,,both_bounds,0.1,0.11,0.10317460317460317,0.012701034545898438,1.0,1.0,1.0,3,success,
51134,0,1,2,,lower_only,0.1,,0.10317460317460317,0.011406183242797852,1.0,1.0,1.0,2,success,
72994,0,1,2,,lower_only,0.1,,0.10317460317460317,0.03139519691467285,1.0,1.0,1.0,2,success,
98846,0,1,4,,both_bounds,0.1,0.11,0.10317460317460317,0.035356998443603516,1.0,1.0,1.0,4,success,
