seed,class_a,class_b,num_states,deviation,case_name,distance_function,runtime,precision,recall,f1,states,status,error_message
79121,0,1,4,,distance,levenshtein,0.03805804252624512,1.0,1.0,1.0,4,success,
69007,0,1,4,,distance,levenshtein,0.043306827545166016,0.7777777777777778,1.0,0.875,4,success,
89149,0,1,6,,distance,levenshtein,0.1322031021118164,1.0,1.0,1.0,6,success,
29382,0,1,3,,distance,levenshtein,0.2607080936431885,1.0,1.0,1.0,3,success,
93344,0,1,6,,distance,levenshtein,0.23527097702026367,1.0,1.0,1.0,6,success,
31055,0,1,6,,distance,levenshtein,0.2151789665222168,0.7777777777777778,1.0,0.875,6,success,
11298,0,1,7,,distance,levenshtein,0.2114701271057129,0.875,1.0,0.9333333333333333,7,success,
97635,0,1,7,,distance,levenshtein,0.2254347801208496,1.0,1.0,1.0,7,success,
58283,0,1,7,,distance,levenshtein,0.23012709617614746,0.875,1.0,0.9333333333333333,7,success,
84787,0,1,6,,distance,levenshtein,0.1590738296508789,0.7777777777777778,1.0,0.875,6,success,
45,0,1,4,,distance,levenshtein,0.05322003364562988,1.0,1.0,1.0,4,success,
26253,0,1,4,,distance,levenshtein,0.15983986854553223,0.875,1.0,0.9333333333333333,4,success,
32584,0,1,5,,distance,levenshtein,0.35274791717529297,0.875,1.0,0.9333333333333333,5,success,
36624,0,1,7,,distance,levenshtein,0.42035698890686035,0.75,0.8571428571428571,0.8,7,success,
65447,0,1,6,,distance,levenshtein,0.1465921401977539,0.7777777777777778,1.0,0.875,6,success,
56085,0,1,8,,distance,levenshtein,0.3826029300689697,0.875,1.0,0.9333333333333333,8,success,
51134,0,1,5,,distance,levenshtein,0.17185306549072266,0.6363636363636364,1.0,0.7777777777777778,5,success,
39871,0,1,8,,distance,levenshtein,0.38236308097839355,1.0,1.0,1.0,8,success,
6886,0,1,5,,distance,levenshtein,0.25629210472106934,1.0,1.0,1.0,5,success,
33653,0,1,5,,distance,levenshtein,0.15871882438659668,0.7777777777777778,1.0,0.875,5,success,
72994,0,1,7,,distance,levenshtein,0.2255089282989502,0.875,1.0,0.9333333333333333,7,success,
68503,0,1,4,,distance,levenshtein,0.17261004447937012,0.875,1.0,0.9333333333333333,4,success,
15852,0,1,5,,distance,levenshtein,0.24566006660461426,0.875,1.0,0.9333333333333333,5,success,
7239,0,1,8,,distance,levenshtein,0.4277920722961426,0.7777777777777778,1.0,0.875,8,success,
88322,0,1,5,,distance,levenshtein,0.06867599487304688,0.875,1.0,0.9333333333333333,5,success,
69007,0,1,5,,distance,levenshtein,0.0717778205871582,0.7777777777777778,1.0,0.875,5,success,
