seed,class_a,class_b,num_states,deviation,case_name,distance_function,runtime,precision,recall,f1,states,status,error_message
12153,0,1,7,,distance,levenshtein,0.13966703414916992,0.875,1.0,0.9333333333333333,7,success,
63198,0,1,5,,distance,levenshtein,0.17856192588806152,0.7777777777777778,1.0,0.875,5,success,
84787,0,1,6,,distance,levenshtein,0.12210202217102051,0.7777777777777778,1.0,0.875,6,success,
31055,0,1,5,,distance,levenshtein,0.09087491035461426,0.7777777777777778,1.0,0.875,5,success,
32584,0,1,5,,distance,levenshtein,0.20533084869384766,0.875,1.0,0.9333333333333333,5,success,
58656,0,1,4,,distance,levenshtein,0.10960006713867188,0.7777777777777778,1.0,0.875,4,success,
68503,0,1,5,,distance,levenshtein,0.07446813583374023,0.875,1.0,0.9333333333333333,5,success,
3075,0,1,4,,distance,levenshtein,0.2868661880493164,0.7,1.0,0.8235294117647058,4,success,
26253,0,1,5,,distance,levenshtein,0.07846617698669434,0.875,1.0,0.9333333333333333,5,success,
37843,0,1,6,,distance,levenshtein,0.12013387680053711,0.875,1.0,0.9333333333333333,6,success,
33653,0,1,6,,distance,levenshtein,0.08429884910583496,0.7777777777777778,1.0,0.875,6,success,
162,0,1,6,,distance,levenshtein,0.2203688621520996,0.7,1.0,0.8235294117647058,6,success,
55151,0,1,7,,distance,levenshtein,0.14355802536010742,1.0,1.0,1.0,7,success,
45,0,1,6,,distance,levenshtein,0.09335803985595703,1.0,1.0,1.0,6,success,
11517,0,1,7,,distance,levenshtein,0.1401970386505127,1.0,1.0,1.0,7,success,
88322,0,1,7,,distance,levenshtein,0.14153099060058594,0.875,1.0,0.9333333333333333,7,success,
63198,0,1,6,,distance,levenshtein,0.11146903038024902,0.7777777777777778,1.0,0.875,6,success,
51338,0,1,6,,distance,levenshtein,0.13593697547912598,0.875,1.0,0.9333333333333333,6,success,
68503,0,1,6,,distance,levenshtein,0.13981389999389648,0.875,1.0,0.9333333333333333,6,success,
31055,0,1,6,,distance,levenshtein,0.18527579307556152,0.7777777777777778,1.0,0.875,6,success,
39871,0,1,8,,distance,levenshtein,0.27953314781188965,1.0,1.0,1.0,8,success,
84787,0,1,7,,distance,levenshtein,0.1813509464263916,0.7777777777777778,1.0,0.875,7,success,
6886,0,1,6,,distance,levenshtein,0.33687281608581543,1.0,1.0,1.0,6,success,
15852,0,1,6,,distance,levenshtein,0.32639384269714355,0.875,1.0,0.9333333333333333,6,success,
89095,0,1,4,,distance,levenshtein,0.3780069351196289,0.7777777777777778,1.0,0.875,4,success,
45,0,1,7,,distance,levenshtein,0.14333415031433105,1.0,1.0,1.0,7,success,
12153,0,1,8,,distance,levenshtein,0.2732429504394531,0.875,1.0,0.9333333333333333,8,success,
93884,0,1,6,,distance,levenshtein,0.3927040100097656,0.7777777777777778,1.0,0.875,6,success,
9471,0,1,8,,distance,levenshtein,0.2837979793548584,1.0,1.0,1.0,8,success,
37843,0,1,7,,distance,levenshtein,0.18952417373657227,0.875,1.0,0.9333333333333333,7,success,
58656,0,1,5,,distance,levenshtein,0.2603790760040283,0.7777777777777778,1.0,0.875,5,success,
8988,0,1,6,,distance,levenshtein,0.42705297470092773,0.875,1.0,0.9333333333333333,6,success,
33653,0,1,7,,distance,levenshtein,0.2801978588104248,0.7777777777777778,1.0,0.875,7,success,
32584,0,1,6,,distance,levenshtein,0.4001491069793701,0.875,1.0,0.9333333333333333,6,success,
51338,0,1,7,,distance,levenshtein,0.1920299530029297,0.875,1.0,0.9333333333333333,7,success,
55151,0,1,8,,distance,levenshtein,0.28292202949523926,1.0,1.0,1.0,8,success,
11517,0,1,8,,distance,levenshtein,0.2799379825592041,1.0,1.0,1.0,8,success,
26253,0,1,6,,distance,levenshtein,0.37728214263916016,0.875,1.0,0.9333333333333333,6,success,
88322,0,1,8,,distance,levenshtein,0.2781538963317871,0.875,1.0,0.9333333333333333,8,success,
162,0,1,7,,distance,levenshtein,0.3906569480895996,0.7,1.0,0.8235294117647058,7,success,
39871,0,1,9,,distance,levenshtein,0.2036290168762207,1.0,1.0,1.0,9,success,
12153,0,1,9,,distance,levenshtein,0.20089411735534668,0.875,1.0,0.9333333333333333,9,success,
84787,0,1,8,,distance,levenshtein,0.2771430015563965,0.75,0.8571428571428571,0.8,8,success,
31055,0,1,7,,distance,levenshtein,0.30184388160705566,0.7777777777777778,1.0,0.875,7,success,
37843,0,1,8,,distance,levenshtein,0.24767112731933594,0.875,1.0,0.9333333333333333,8,success,
45,0,1,8,,distance,levenshtein,0.2831540107727051,1.0,1.0,1.0,8,success,
9471,0,1,9,,distance,levenshtein,0.2590599060058594,1.0,1.0,1.0,9,success,
89095,0,1,5,,distance,levenshtein,0.3264429569244385,0.7777777777777778,1.0,0.875,5,success,
39871,0,1,10,,distance,levenshtein,0.04142498970031738,1.0,1.0,1.0,10,success,
15852,0,1,7,,distance,levenshtein,0.4111649990081787,0.875,1.0,0.9333333333333333,7,success,
11517,0,1,9,,distance,levenshtein,0.20380783081054688,1.0,1.0,1.0,9,success,
12153,0,1,10,,distance,levenshtein,0.04112696647644043,0.875,1.0,0.9333333333333333,10,success,
55151,0,1,9,,distance,levenshtein,0.22578001022338867,1.0,1.0,1.0,9,success,
88322,0,1,9,,distance,levenshtein,0.206589937210083,0.875,1.0,0.9333333333333333,9,success,
63198,0,1,7,,distance,levenshtein,0.5729329586029053,0.7777777777777778,1.0,0.875,7,success,
39871,0,2,2,,distance,levenshtein,0.05027008056640625,1.0,1.0,1.0,2,success,
9471,0,1,10,,distance,levenshtein,0.041834115982055664,1.0,1.0,1.0,10,success,
12153,0,2,2,,distance,levenshtein,0.05417299270629883,0.875,1.0,0.9333333333333333,2,success,
11517,0,1,10,,distance,levenshtein,0.04116702079772949,1.0,1.0,1.0,10,success,
28998,0,1,6,,distance,levenshtein,1.0281140804290771,1.0,1.0,1.0,6,success,
9471,0,2,2,,distance,levenshtein,0.03730201721191406,1.0,1.0,1.0,2,success,
88322,0,1,10,,distance,levenshtein,0.04194498062133789,0.875,1.0,0.9333333333333333,10,success,
26253,0,1,7,,distance,levenshtein,0.40421509742736816,0.875,1.0,0.9333333333333333,7,success,
55151,0,1,10,,distance,levenshtein,0.05291485786437988,1.0,1.0,1.0,10,success,
58656,0,1,6,,distance,levenshtein,0.5431180000305176,0.7777777777777778,1.0,0.875,6,success,
45,0,1,9,,distance,levenshtein,0.20810508728027344,1.0,1.0,1.0,9,success,
31055,0,1,8,,distance,levenshtein,0.26959800720214844,0.7777777777777778,1.0,0.875,8,success,
39871,0,2,3,,distance,levenshtein,0.09022879600524902,1.0,1.0,1.0,3,success,
68503,0,1,7,,distance,levenshtein,0.705596923828125,0.875,1.0,0.9333333333333333,7,success,
93884,0,1,7,,distance,levenshtein,0.6201338768005371,0.7777777777777778,1.0,0.875,7,success,
